hbresname,discharge_fin_yr_end,sex,age_grp,stays,rate
NHS Tayside,2016,Both Sexes,00-14,165,259.5
NHS Western Isles,2016,Both Sexes,00-14,2,49.14
Other,2016,Both Sexes,00-14,28,-
NHSScotland,2016,Both Sexes,00-14,1921,224.5
NHS Ayrshire & Arran,2016,Both Sexes,15-24,41,96.16
NHS Borders,2016,Both Sexes,15-24,27,233
NHS Dumfries & Galloway,2016,Both Sexes,15-24,11,69.48
NHS Fife,2016,Both Sexes,15-24,92,202.05
NHS Forth Valley,2016,Both Sexes,15-24,26,67.88
NHS Grampian,2016,Both Sexes,15-24,44,59.13
NHS Greater Glasgow & Clyde,2016,Both Sexes,15-24,198,128.3
NHS Highland,2016,Both Sexes,15-24,37,107.52
NHS Lanarkshire,2016,Both Sexes,15-24,82,104.85
NHS Lothian,2016,Both Sexes,15-24,148,128.95
NHS Orkney,2016,Both Sexes,15-24,2,87.68
NHS Shetland,2016,Both Sexes,15-24,4,148.86
NHS Tayside,2016,Both Sexes,15-24,44,81.34
NHS Western Isles,2016,Both Sexes,15-24,5,194.55
Other,2016,Both Sexes,15-24,9,-
NHSScotland,2016,Both Sexes,15-24,770,114.64
NHS Ayrshire & Arran,2016,Both Sexes,25-34,31,78.42
NHS Borders,2016,Both Sexes,25-34,10,97.68
NHS Dumfries & Galloway,2016,Both Sexes,25-34,12,81.79
NHS Fife,2016,Both Sexes,25-34,80,190.28
NHS Forth Valley,2016,Both Sexes,25-34,31,88.49
NHS Grampian,2016,Both Sexes,25-34,92,107.73
NHS Greater Glasgow & Clyde,2016,Both Sexes,25-34,196,112.33
NHS Highland,2016,Both Sexes,25-34,30,88.25
NHS Lanarkshire,2016,Both Sexes,25-34,85,107.58
NHS Lothian,2016,Both Sexes,25-34,136,98.91
NHS Tayside,2016,Both Sexes,25-34,36,68.76
NHS Western Isles,2016,Both Sexes,25-34,1,39.03
Other,2016,Both Sexes,25-34,6,-
NHSScotland,2016,Both Sexes,25-34,746,104.81
NHS Ayrshire & Arran,2016,Both Sexes,35-44,75,175.76
NHS Borders,2016,Both Sexes,35-44,26,204.89
NHS Dumfries & Galloway,2016,Both Sexes,35-44,6,38.65
NHS Fife,2016,Both Sexes,35-44,43,96.14
NHS Forth Valley,2016,Both Sexes,35-44,31,79.53
NHS Grampian,2016,Both Sexes,35-44,61,78.96
NHS Greater Glasgow & Clyde,2016,Both Sexes,35-44,179,124.57
NHS Highland,2016,Both Sexes,35-44,25,68.22
NHS Lanarkshire,2016,Both Sexes,35-44,136,160.23
NHS Lothian,2016,Both Sexes,35-44,106,90.06
NHS Orkney,2016,Both Sexes,35-44,5,204.83
NHS Shetland,2016,Both Sexes,35-44,2,67.34
NHS Tayside,2016,Both Sexes,35-44,36,77.26
NHS Western Isles,2016,Both Sexes,35-44,1,31.39
Other,2016,Both Sexes,35-44,6,-
NHSScotland,2016,Both Sexes,35-44,738,110.16
NHS Ayrshire & Arran,2016,Both Sexes,45-54,57,99.93
NHS Borders,2016,Both Sexes,45-54,13,71.15
NHS Dumfries & Galloway,2016,Both Sexes,45-54,16,69.11
NHS Fife,2016,Both Sexes,45-54,92,166.91
NHS Forth Valley,2016,Both Sexes,45-54,38,80.12
NHS Grampian,2016,Both Sexes,45-54,77,90.9
NHS Greater Glasgow & Clyde,2016,Both Sexes,45-54,226,132.91
NHS Highland,2016,Both Sexes,45-54,36,73
NHS Lanarkshire,2016,Both Sexes,45-54,111,108.09
NHS Lothian,2016,Both Sexes,45-54,121,98.82
NHS Orkney,2016,Both Sexes,45-54,17,496.93
NHS Shetland,2016,Both Sexes,45-54,2,57.54
NHS Tayside,2016,Both Sexes,45-54,47,78.53
Other,2016,Both Sexes,45-54,6,-
NHSScotland,2016,Both Sexes,45-54,859,107.23
NHS Ayrshire & Arran,2016,Both Sexes,55-64,51,99.11
NHS Borders,2016,Both Sexes,55-64,10,59.59
NHS Dumfries & Galloway,2016,Both Sexes,55-64,9,40.93
NHS Fife,2016,Both Sexes,55-64,46,95.86
NHS Forth Valley,2016,Both Sexes,55-64,19,49.83
NHS Grampian,2016,Both Sexes,55-64,43,59.48
NHS Greater Glasgow & Clyde,2016,Both Sexes,55-64,166,120.44
NHS Highland,2016,Both Sexes,55-64,31,66.79
NHS Lanarkshire,2016,Both Sexes,55-64,86,101.36
NHS Lothian,2016,Both Sexes,55-64,99,100.48
NHS Shetland,2016,Both Sexes,55-64,2,65.08
NHS Tayside,2016,Both Sexes,55-64,25,46.84
Other,2016,Both Sexes,55-64,8,-
NHSScotland,2016,Both Sexes,55-64,595,87.52
NHS Ayrshire & Arran,2016,Both Sexes,65-74,27,60.47
NHS Borders,2016,Both Sexes,65-74,10,66.26
NHS Dumfries & Galloway,2016,Both Sexes,65-74,11,54.4
NHS Fife,2016,Both Sexes,65-74,17,41.32
NHS Forth Valley,2016,Both Sexes,65-74,24,76.26
NHS Grampian,2016,Both Sexes,65-74,46,82.03
NHS Greater Glasgow & Clyde,2016,Both Sexes,65-74,89,88.1
NHS Highland,2016,Both Sexes,65-74,20,50.08
NHS Lanarkshire,2016,Both Sexes,65-74,58,89.52
NHS Lothian,2016,Both Sexes,65-74,60,78.6
NHS Orkney,2016,Both Sexes,65-74,3,110.42
NHS Shetland,2016,Both Sexes,65-74,1,39.98
NHS Tayside,2016,Both Sexes,65-74,16,34.97
Other,2016,Both Sexes,65-74,6,-
NHSScotland,2016,Both Sexes,65-74,388,71.16
NHS Ayrshire & Arran,2016,Both Sexes,65+,79,99.86
NHS Borders,2016,Both Sexes,65+,18,67.29
NHS Dumfries & Galloway,2016,Both Sexes,65+,18,49.53
NHS Fife,2016,Both Sexes,65+,35,48.37
NHS Forth Valley,2016,Both Sexes,65+,47,84.89
NHS Grampian,2016,Both Sexes,65+,92,91.52
NHS Greater Glasgow & Clyde,2016,Both Sexes,65+,209,110.9
NHS Highland,2016,Both Sexes,65+,50,71.02
NHS Lanarkshire,2016,Both Sexes,65+,104,91.09
NHS Lothian,2016,Both Sexes,65+,113,81.51
NHS Orkney,2016,Both Sexes,65+,5,103.86
NHS Shetland,2016,Both Sexes,65+,1,23.11
NHS Tayside,2016,Both Sexes,65+,33,38.74
NHS Western Isles,2016,Both Sexes,65+,3,45.72
Other,2016,Both Sexes,65+,14,-
NHSScotland,2016,Both Sexes,65+,821,83.52
NHS Ayrshire & Arran,2016,Both Sexes,75-84,33,128.45
NHS Borders,2016,Both Sexes,75-84,4,46.6
NHS Dumfries & Galloway,2016,Both Sexes,75-84,3,25.07
NHS Fife,2016,Both Sexes,75-84,14,61.25
NHS Forth Valley,2016,Both Sexes,75-84,15,83.76
NHS Grampian,2016,Both Sexes,75-84,28,86.55
NHS Greater Glasgow & Clyde,2016,Both Sexes,75-84,92,143.35
NHS Highland,2016,Both Sexes,75-84,23,102.8
NHS Lanarkshire,2016,Both Sexes,75-84,32,85.31
NHS Lothian,2016,Both Sexes,75-84,37,82.03
NHS Orkney,2016,Both Sexes,75-84,1,65.02
NHS Tayside,2016,Both Sexes,75-84,12,42.31
NHS Western Isles,2016,Both Sexes,75-84,1,46.66
Other,2016,Both Sexes,75-84,6,-
NHSScotland,2016,Both Sexes,75-84,301,93.5
NHS Ayrshire & Arran,2016,Both Sexes,75+,52,150.91
NHS Borders,2016,Both Sexes,75+,8,68.63
NHS Dumfries & Galloway,2016,Both Sexes,75+,7,43.42
NHS Fife,2016,Both Sexes,75+,18,57.66
NHS Forth Valley,2016,Both Sexes,75+,23,96.27
NHS Grampian,2016,Both Sexes,75+,46,103.5
NHS Greater Glasgow & Clyde,2016,Both Sexes,75+,120,137.26
NHS Highland,2016,Both Sexes,75+,30,98.48
NHS Lanarkshire,2016,Both Sexes,75+,46,93.15
NHS Lothian,2016,Both Sexes,75+,53,85.08
NHS Orkney,2016,Both Sexes,75+,2,95.37
NHS Tayside,2016,Both Sexes,75+,17,43.1
NHS Western Isles,2016,Both Sexes,75+,3,100.3
Other,2016,Both Sexes,75+,8,-
NHSScotland,2016,Both Sexes,75+,433,98.92
NHS Ayrshire & Arran,2016,Both Sexes,85+,19,216.7
NHS Borders,2016,Both Sexes,85+,4,130.17
NHS Dumfries & Galloway,2016,Both Sexes,85+,4,96.27
NHS Fife,2016,Both Sexes,85+,4,47.84
NHS Forth Valley,2016,Both Sexes,85+,8,133.71
NHS Grampian,2016,Both Sexes,85+,18,148.83
NHS Greater Glasgow & Clyde,2016,Both Sexes,85+,28,120.44
NHS Highland,2016,Both Sexes,85+,7,86.53
NHS Lanarkshire,2016,Both Sexes,85+,14,117.94
NHS Lothian,2016,Both Sexes,85+,16,93.08
NHS Orkney,2016,Both Sexes,85+,1,178.89
NHS Tayside,2016,Both Sexes,85+,5,45.11
NHS Western Isles,2016,Both Sexes,85+,2,235.85
Other,2016,Both Sexes,85+,2,-
NHSScotland,2016,Both Sexes,85+,132,113.98
NHS Ayrshire & Arran,2016,Both Sexes,All ages,498,134.38
NHS Borders,2016,Both Sexes,All ages,128,112.25
NHS Dumfries & Galloway,2016,Both Sexes,All ages,128,85.52
NHS Fife,2016,Both Sexes,All ages,503,136.66
NHS Forth Valley,2016,Both Sexes,All ages,287,94.83
NHS Grampian,2016,Both Sexes,All ages,501,85.23
NHS Greater Glasgow & Clyde,2016,Both Sexes,All ages,1634,142.1
NHS Highland,2016,Both Sexes,All ages,315,98.13
NHS Lanarkshire,2016,Both Sexes,All ages,929,141.94
NHS Lothian,2016,Both Sexes,All ages,1007,116.04
NHS Orkney,2016,Both Sexes,All ages,29,133.83
NHS Shetland,2016,Both Sexes,All ages,16,68.97
NHS Tayside,2016,Both Sexes,All ages,386,93
NHS Western Isles,2016,Both Sexes,All ages,12,44.33
Other,2016,Both Sexes,All ages,77,-
NHSScotland,2016,Both Sexes,All ages,6450,120.04
NHS Ayrshire & Arran,2016,Female,00-14,71,249.05
NHS Borders,2016,Female,00-14,4,45.8
NHS Dumfries & Galloway,2016,Female,00-14,16,148.09
NHS Fife,2016,Female,00-14,37,126.06
NHS Forth Valley,2016,Female,00-14,53,219.29
NHS Grampian,2016,Female,00-14,34,74.74
NHS Greater Glasgow & Clyde,2016,Female,00-14,173,195.12
NHS Highland,2016,Female,00-14,36,147.79
NHS Lanarkshire,2016,Female,00-14,111,204.5
NHS Lothian,2016,Female,00-14,109,161.39
NHS Shetland,2016,Female,00-14,3,158.56
NHS Tayside,2016,Female,00-14,53,171.02
Other,2016,Female,00-14,14,-
NHSScotland,2016,Female,00-14,714,170.68
NHS Ayrshire & Arran,2016,Female,15-24,25,119.72
NHS Borders,2016,Female,15-24,24,416.23
NHS Dumfries & Galloway,2016,Female,15-24,5,64.68
NHS Fife,2016,Female,15-24,74,322.57
NHS Forth Valley,2016,Female,15-24,20,106.42
NHS Grampian,2016,Female,15-24,31,84.56
NHS Greater Glasgow & Clyde,2016,Female,15-24,138,179.69
NHS Highland,2016,Female,15-24,30,188.57
NHS Lanarkshire,2016,Female,15-24,56,146.67
NHS Lothian,2016,Female,15-24,97,164.85
NHS Orkney,2016,Female,15-24,2,187.97
NHS Shetland,2016,Female,15-24,4,311.04
NHS Tayside,2016,Female,15-24,27,101.3
NHS Western Isles,2016,Female,15-24,4,327.87
Other,2016,Female,15-24,7,-
NHSScotland,2016,Female,15-24,544,163.5
NHS Ayrshire & Arran,2016,Female,25-34,24,116.7
NHS Borders,2016,Female,25-34,5,94.07
NHS Dumfries & Galloway,2016,Female,25-34,6,79.6
NHS Fife,2016,Female,25-34,68,311.68
NHS Forth Valley,2016,Female,25-34,27,149.25
NHS Grampian,2016,Female,25-34,41,98.11
NHS Greater Glasgow & Clyde,2016,Female,25-34,137,156.87
NHS Highland,2016,Female,25-34,26,154.61
NHS Lanarkshire,2016,Female,25-34,66,161.03
NHS Lothian,2016,Female,25-34,105,148.58
NHS Tayside,2016,Female,25-34,29,110.25
Other,2016,Female,25-34,1,-
NHSScotland,2016,Female,25-34,535,148.2
NHS Ayrshire & Arran,2016,Female,35-44,53,234.57
NHS Borders,2016,Female,35-44,13,195.49
NHS Dumfries & Galloway,2016,Female,35-44,6,73.81
NHS Fife,2016,Female,35-44,32,138.25
NHS Forth Valley,2016,Female,35-44,20,99.36
NHS Grampian,2016,Female,35-44,47,123.01
NHS Greater Glasgow & Clyde,2016,Female,35-44,124,168.3
NHS Highland,2016,Female,35-44,17,89.89
NHS Lanarkshire,2016,Female,35-44,89,204.02
NHS Lothian,2016,Female,35-44,72,122.22
NHS Orkney,2016,Female,35-44,4,309.84
NHS Shetland,2016,Female,35-44,2,137.27
NHS Tayside,2016,Female,35-44,24,100
NHS Western Isles,2016,Female,35-44,1,62.11
Other,2016,Female,35-44,2,-
NHSScotland,2016,Female,35-44,506,147.81
NHS Ayrshire & Arran,2016,Female,45-54,42,140.09
NHS Borders,2016,Female,45-54,13,139.82
NHS Dumfries & Galloway,2016,Female,45-54,9,74.7
NHS Fife,2016,Female,45-54,77,271.73
NHS Forth Valley,2016,Female,45-54,27,111.83
NHS Grampian,2016,Female,45-54,39,91.32
NHS Greater Glasgow & Clyde,2016,Female,45-54,166,186.24
NHS Highland,2016,Female,45-54,29,114.08
NHS Lanarkshire,2016,Female,45-54,79,149.17
NHS Lothian,2016,Female,45-54,94,151.35
NHS Orkney,2016,Female,45-54,1,59.31
NHS Tayside,2016,Female,45-54,29,94.32
Other,2016,Female,45-54,5,-
NHSScotland,2016,Female,45-54,610,147.94
NHS Ayrshire & Arran,2016,Female,55-64,35,130.87
NHS Borders,2016,Female,55-64,7,82.09
NHS Dumfries & Galloway,2016,Female,55-64,6,53.3
NHS Fife,2016,Female,55-64,40,162.67
NHS Forth Valley,2016,Female,55-64,12,61.53
NHS Grampian,2016,Female,55-64,25,69.12
NHS Greater Glasgow & Clyde,2016,Female,55-64,116,162.83
NHS Highland,2016,Female,55-64,19,80.42
NHS Lanarkshire,2016,Female,55-64,57,129.18
NHS Lothian,2016,Female,55-64,67,132.92
NHS Tayside,2016,Female,55-64,15,54.98
Other,2016,Female,55-64,5,-
NHSScotland,2016,Female,55-64,404,115.93
NHS Ayrshire & Arran,2016,Female,65-74,16,68.08
NHS Borders,2016,Female,65-74,7,90.29
NHS Dumfries & Galloway,2016,Female,65-74,8,77.25
NHS Fife,2016,Female,65-74,13,60.56
NHS Forth Valley,2016,Female,65-74,13,79.11
NHS Grampian,2016,Female,65-74,36,124.66
NHS Greater Glasgow & Clyde,2016,Female,65-74,71,131.9
NHS Highland,2016,Female,65-74,14,68.39
NHS Lanarkshire,2016,Female,65-74,46,133.8
NHS Lothian,2016,Female,65-74,48,118.74
NHS Orkney,2016,Female,65-74,3,215.05
NHS Shetland,2016,Female,65-74,1,82.03
NHS Tayside,2016,Female,65-74,10,41.68
Other,2016,Female,65-74,2,-
NHSScotland,2016,Female,65-74,288,100.74
NHS Ayrshire & Arran,2016,Female,65+,59,134.9
NHS Borders,2016,Female,65+,13,89.85
NHS Dumfries & Galloway,2016,Female,65+,14,71.89
NHS Fife,2016,Female,65+,28,70.26
NHS Forth Valley,2016,Female,65+,28,91.78
NHS Grampian,2016,Female,65+,67,121.77
NHS Greater Glasgow & Clyde,2016,Female,65+,161,148.81
NHS Highland,2016,Female,65+,34,88.76
NHS Lanarkshire,2016,Female,65+,82,127.46
NHS Lothian,2016,Female,65+,88,113.16
NHS Orkney,2016,Female,65+,4,156.56
NHS Shetland,2016,Female,65+,1,44.4
NHS Tayside,2016,Female,65+,21,44.42
NHS Western Isles,2016,Female,65+,2,55.9
Other,2016,Female,65+,7,-
NHSScotland,2016,Female,65+,609,111.27
NHS Ayrshire & Arran,2016,Female,75-84,28,194.32
NHS Borders,2016,Female,75-84,4,84.03
NHS Dumfries & Galloway,2016,Female,75-84,3,46.53
NHS Fife,2016,Female,75-84,11,85.37
NHS Forth Valley,2016,Female,75-84,9,89.07
NHS Grampian,2016,Female,75-84,16,88
NHS Greater Glasgow & Clyde,2016,Female,75-84,70,182.47
NHS Highland,2016,Female,75-84,17,135.54
NHS Lanarkshire,2016,Female,75-84,25,114.12
NHS Lothian,2016,Female,75-84,27,104.24
NHS Tayside,2016,Female,75-84,7,43.96
Other,2016,Female,75-84,3,-
NHSScotland,2016,Female,75-84,220,119.44
NHS Ayrshire & Arran,2016,Female,75+,43,212.5
NHS Borders,2016,Female,75+,6,89.35
NHS Dumfries & Galloway,2016,Female,75+,6,65.81
NHS Fife,2016,Female,75+,15,81.59
NHS Forth Valley,2016,Female,75+,15,106.56
NHS Grampian,2016,Female,75+,31,118.57
NHS Greater Glasgow & Clyde,2016,Female,75+,90,165.54
NHS Highland,2016,Female,75+,20,112.15
NHS Lanarkshire,2016,Female,75+,36,120.17
NHS Lothian,2016,Female,75+,40,107.13
NHS Orkney,2016,Female,75+,1,86.21
NHS Tayside,2016,Female,75+,11,47.24
NHS Western Isles,2016,Female,75+,2,111.11
Other,2016,Female,75+,5,-
NHSScotland,2016,Female,75+,321,122.78
NHS Ayrshire & Arran,2016,Female,85+,15,257.47
NHS Borders,2016,Female,85+,2,102.3
NHS Dumfries & Galloway,2016,Female,85+,3,112.4
NHS Fife,2016,Female,85+,4,72.74
NHS Forth Valley,2016,Female,85+,6,151.06
NHS Grampian,2016,Female,85+,15,188.39
NHS Greater Glasgow & Clyde,2016,Female,85+,20,124.96
NHS Highland,2016,Female,85+,3,56.69
NHS Lanarkshire,2016,Female,85+,11,136.63
NHS Lothian,2016,Female,85+,13,113.67
NHS Orkney,2016,Female,85+,1,294.99
NHS Tayside,2016,Female,85+,4,54.36
NHS Western Isles,2016,Female,85+,2,350.88
Other,2016,Female,85+,2,-
NHSScotland,2016,Female,85+,101,130.73
NHS Ayrshire & Arran,2016,Female,All ages,309,160.09
NHS Borders,2016,Female,All ages,79,134.45
NHS Dumfries & Galloway,2016,Female,All ages,62,80.54
NHS Fife,2016,Female,All ages,356,187.34
NHS Forth Valley,2016,Female,All ages,187,120.38
NHS Grampian,2016,Female,All ages,284,95.93
NHS Greater Glasgow & Clyde,2016,Female,All ages,1015,170.58
NHS Highland,2016,Female,All ages,191,116.93
NHS Lanarkshire,2016,Female,All ages,540,159.53
NHS Lothian,2016,Female,All ages,632,141.63
NHS Orkney,2016,Female,All ages,11,101.06
NHS Shetland,2016,Female,All ages,10,87.59
NHS Tayside,2016,Female,All ages,198,92.85
NHS Western Isles,2016,Female,All ages,7,51.11
Other,2016,Female,All ages,41,-
NHSScotland,2016,Female,All ages,3922,141.97
NHS Ayrshire & Arran,2016,Male,00-14,93,313.78
NHS Borders,2016,Male,00-14,20,222.62
NHS Dumfries & Galloway,2016,Male,00-14,40,352.11
NHS Fife,2016,Male,00-14,78,251.95
NHS Forth Valley,2016,Male,00-14,42,166.38
NHS Grampian,2016,Male,00-14,58,121.54
NHS Greater Glasgow & Clyde,2016,Male,00-14,287,310.63
NHS Highland,2016,Male,00-14,70,274.93
NHS Lanarkshire,2016,Male,00-14,214,379.37
NHS Lothian,2016,Male,00-14,175,247.49
NHS Shetland,2016,Male,00-14,2,96.62
NHS Tayside,2016,Male,00-14,112,343.63
NHS Western Isles,2016,Male,00-14,2,95.51
Other,2016,Male,00-14,14,-
NHSScotland,2016,Male,00-14,1207,275.99
NHS Ayrshire & Arran,2016,Male,15-24,16,73.55
NHS Borders,2016,Male,15-24,3,51.53
NHS Dumfries & Galloway,2016,Male,15-24,6,74.06
NHS Fife,2016,Male,15-24,18,79.67
NHS Forth Valley,2016,Male,15-24,6,30.76
NHS Grampian,2016,Male,15-24,13,34.43
NHS Greater Glasgow & Clyde,2016,Male,15-24,60,77.39
NHS Highland,2016,Male,15-24,7,37.83
NHS Lanarkshire,2016,Male,15-24,26,64.96
NHS Lothian,2016,Male,15-24,51,91.19
NHS Tayside,2016,Male,15-24,17,61.95
NHS Western Isles,2016,Male,15-24,1,74.07
Other,2016,Male,15-24,2,-
NHSScotland,2016,Male,15-24,226,66.68
NHS Ayrshire & Arran,2016,Male,25-34,7,36.91
NHS Borders,2016,Male,25-34,5,101.58
NHS Dumfries & Galloway,2016,Male,25-34,6,84.12
NHS Fife,2016,Male,25-34,12,59.33
NHS Forth Valley,2016,Male,25-34,4,23.61
NHS Grampian,2016,Male,25-34,51,116.96
NHS Greater Glasgow & Clyde,2016,Male,25-34,59,67.7
NHS Highland,2016,Male,25-34,4,23.29
NHS Lanarkshire,2016,Male,25-34,19,49.97
NHS Lothian,2016,Male,25-34,31,46.39
NHS Tayside,2016,Male,25-34,7,26.87
NHS Western Isles,2016,Male,25-34,1,77.52
Other,2016,Male,25-34,5,-
NHSScotland,2016,Male,25-34,211,60.15
NHS Ayrshire & Arran,2016,Male,35-44,22,109.58
NHS Borders,2016,Male,35-44,13,215.23
NHS Fife,2016,Male,35-44,11,50.98
NHS Forth Valley,2016,Male,35-44,11,58.35
NHS Grampian,2016,Male,35-44,14,35.85
NHS Greater Glasgow & Clyde,2016,Male,35-44,55,78.55
NHS Highland,2016,Male,35-44,8,45.11
NHS Lanarkshire,2016,Male,35-44,47,113.92
NHS Lothian,2016,Male,35-44,34,57.84
NHS Orkney,2016,Male,35-44,1,86.96
NHS Tayside,2016,Male,35-44,12,53.11
Other,2016,Male,35-44,4,-
NHSScotland,2016,Male,35-44,232,70.81
NHS Ayrshire & Arran,2016,Male,45-54,15,55.43
NHS Dumfries & Galloway,2016,Male,45-54,7,63.05
NHS Fife,2016,Male,45-54,15,56.01
NHS Forth Valley,2016,Male,45-54,11,47.24
NHS Grampian,2016,Male,45-54,38,90.46
NHS Greater Glasgow & Clyde,2016,Male,45-54,60,74.15
NHS Highland,2016,Male,45-54,7,29.29
NHS Lanarkshire,2016,Male,45-54,32,64.35
NHS Lothian,2016,Male,45-54,27,44.75
NHS Orkney,2016,Male,45-54,16,922.19
NHS Shetland,2016,Male,45-54,2,112.55
NHS Tayside,2016,Male,45-54,18,61.86
Other,2016,Male,45-54,1,-
NHSScotland,2016,Male,45-54,249,64.05
NHS Ayrshire & Arran,2016,Male,55-64,16,64.74
NHS Borders,2016,Male,55-64,3,36.35
NHS Dumfries & Galloway,2016,Male,55-64,3,27.95
NHS Fife,2016,Male,55-64,6,25.64
NHS Forth Valley,2016,Male,55-64,7,37.58
NHS Grampian,2016,Male,55-64,18,49.82
NHS Greater Glasgow & Clyde,2016,Male,55-64,50,75.09
NHS Highland,2016,Male,55-64,12,52.66
NHS Lanarkshire,2016,Male,55-64,29,71.22
NHS Lothian,2016,Male,55-64,32,66.5
NHS Shetland,2016,Male,55-64,2,127.15
NHS Tayside,2016,Male,55-64,10,38.33
Other,2016,Male,55-64,3,-
NHSScotland,2016,Male,55-64,191,57.65
NHS Ayrshire & Arran,2016,Male,65-74,11,52.01
NHS Borders,2016,Male,65-74,3,40.88
NHS Dumfries & Galloway,2016,Male,65-74,3,30.41
NHS Fife,2016,Male,65-74,4,20.33
NHS Forth Valley,2016,Male,65-74,11,73.14
NHS Grampian,2016,Male,65-74,10,36.76
NHS Greater Glasgow & Clyde,2016,Male,65-74,18,38.14
NHS Highland,2016,Male,65-74,6,30.82
NHS Lanarkshire,2016,Male,65-74,12,39.46
NHS Lothian,2016,Male,65-74,12,33.42
NHS Tayside,2016,Male,65-74,6,27.58
Other,2016,Male,65-74,4,-
NHSScotland,2016,Male,65-74,100,38.55
NHS Ayrshire & Arran,2016,Male,65+,20,56.54
NHS Borders,2016,Male,65+,5,40.72
NHS Dumfries & Galloway,2016,Male,65+,4,23.71
NHS Fife,2016,Male,65+,7,21.53
NHS Forth Valley,2016,Male,65+,19,76.44
NHS Grampian,2016,Male,65+,25,54.94
NHS Greater Glasgow & Clyde,2016,Male,65+,48,59.81
NHS Highland,2016,Male,65+,16,49.85
NHS Lanarkshire,2016,Male,65+,22,44.14
NHS Lothian,2016,Male,65+,25,41.08
NHS Orkney,2016,Male,65+,1,44.27
NHS Tayside,2016,Male,65+,12,31.65
NHS Western Isles,2016,Male,65+,1,33.52
Other,2016,Male,65+,7,-
NHSScotland,2016,Male,65+,212,48.66
NHS Ayrshire & Arran,2016,Male,75-84,5,44.32
NHS Fife,2016,Male,75-84,3,30.08
NHS Forth Valley,2016,Male,75-84,6,76.88
NHS Grampian,2016,Male,75-84,12,84.69
NHS Greater Glasgow & Clyde,2016,Male,75-84,22,85.22
NHS Highland,2016,Male,75-84,6,61.03
NHS Lanarkshire,2016,Male,75-84,7,44.86
NHS Lothian,2016,Male,75-84,10,52.07
NHS Orkney,2016,Male,75-84,1,139.47
NHS Tayside,2016,Male,75-84,5,40.21
NHS Western Isles,2016,Male,75-84,1,109.53
Other,2016,Male,75-84,3,-
NHSScotland,2016,Male,75-84,81,58.81
NHS Ayrshire & Arran,2016,Male,75+,9,63.28
NHS Borders,2016,Male,75+,2,40.47
NHS Dumfries & Galloway,2016,Male,75+,1,14.28
NHS Fife,2016,Male,75+,3,23.37
NHS Forth Valley,2016,Male,75+,8,81.51
NHS Grampian,2016,Male,75+,15,81.96
NHS Greater Glasgow & Clyde,2016,Male,75+,30,90.74
NHS Highland,2016,Male,75+,10,79.18
NHS Lanarkshire,2016,Male,75+,10,51.48
NHS Lothian,2016,Male,75+,13,52.09
NHS Orkney,2016,Male,75+,1,106.72
NHS Tayside,2016,Male,75+,6,37.13
NHS Western Isles,2016,Male,75+,1,83.96
Other,2016,Male,75+,3,-
NHSScotland,2016,Male,75+,112,63.54
NHS Ayrshire & Arran,2016,Male,85+,4,135.96
NHS Borders,2016,Male,85+,2,178.89
NHS Dumfries & Galloway,2016,Male,85+,1,67.29
NHS Forth Valley,2016,Male,85+,2,99.45
NHS Grampian,2016,Male,85+,3,72.6
NHS Greater Glasgow & Clyde,2016,Male,85+,8,110.45
NHS Highland,2016,Male,85+,4,142.96
NHS Lanarkshire,2016,Male,85+,3,78.55
NHS Lothian,2016,Male,85+,3,52.16
NHS Tayside,2016,Male,85+,1,26.85
NHSScotland,2016,Male,85+,31,80.42
NHS Ayrshire & Arran,2016,Male,All ages,189,106.43
NHS Borders,2016,Male,All ages,49,88.65
NHS Dumfries & Galloway,2016,Male,All ages,66,90.8
NHS Fife,2016,Male,All ages,147,82.56
NHS Forth Valley,2016,Male,All ages,100,67.88
NHS Grampian,2016,Male,All ages,217,74.37
NHS Greater Glasgow & Clyde,2016,Male,All ages,619,111.56
NHS Highland,2016,Male,All ages,124,78.65
NHS Lanarkshire,2016,Male,All ages,389,123.1
NHS Lothian,2016,Male,All ages,375,88.95
NHS Orkney,2016,Male,All ages,18,166.9
NHS Shetland,2016,Male,All ages,6,50.92
NHS Tayside,2016,Male,All ages,188,93.17
NHS Western Isles,2016,Male,All ages,5,37.39
Other,2016,Male,All ages,36,-
NHSScotland,2016,Male,All ages,2528,96.84
NHS Ayrshire & Arran,2017,Both Sexes,00-14,158,271.48
NHS Borders,2017,Both Sexes,00-14,28,157.1
NHS Dumfries & Galloway,2017,Both Sexes,00-14,74,334.64
NHS Fife,2017,Both Sexes,00-14,76,125.7
NHS Forth Valley,2017,Both Sexes,00-14,103,207.8
NHS Grampian,2017,Both Sexes,00-14,77,82
NHS Greater Glasgow & Clyde,2017,Both Sexes,00-14,361,197.51
NHS Highland,2017,Both Sexes,00-14,78,156.78
NHS Lanarkshire,2017,Both Sexes,00-14,357,321.93
NHS Lothian,2017,Both Sexes,00-14,268,191.11
NHS Orkney,2017,Both Sexes,00-14,4,120.99
NHS Shetland,2017,Both Sexes,00-14,7,175.75
NHS Tayside,2017,Both Sexes,00-14,176,277.5
NHS Western Isles,2017,Both Sexes,00-14,2,49.5
Other,2017,Both Sexes,00-14,13,-
NHSScotland,2017,Both Sexes,00-14,1782,207.09
NHS Ayrshire & Arran,2017,Both Sexes,15-24,55,131.28
NHS Borders,2017,Both Sexes,15-24,14,120.51
