hbresname,discharge_fin_yr_end,sex,age_grp,stays,rate,hb_code
NHS Lothian,2013,Male,75+,11,47.31,S08000024
NHS Tayside,2013,Male,75+,6,39.91,S08000030
NHS Scotland,2013,Male,75+,92,56.1,NHS Scotland
NHS Ayrshire & Arran,2013,Male,85+,3,112.95,S08000015
NHS Dumfries & Galloway,2013,Male,85+,1,72.78,S08000017
NHS Forth Valley,2013,Male,85+,1,55.56,S08000019
NHS Grampian,2013,Male,85+,1,26.36,S08000020
NHS Greater Glasgow & Clyde,2013,Male,85+,4,61.3,S08000021
NHS Highland,2013,Male,85+,3,123.46,S08000022
NHS Lanarkshire,2013,Male,85+,2,58.34,S08000023
NHS Lothian,2013,Male,85+,2,38.23,S08000024
NHS Tayside,2013,Male,85+,2,60.79,S08000030
NHS Scotland,2013,Male,85+,19,54.8,NHS Scotland
NHS Ayrshire & Arran,2013,Male,All ages,233,130.41,S08000015
NHS Borders,2013,Male,All ages,48,86.98,S08000016
NHS Dumfries & Galloway,2013,Male,All ages,58,79.22,S08000017
NHS Fife,2013,Male,All ages,122,68.75,S08000029
NHS Forth Valley,2013,Male,All ages,142,97.69,S08000019
NHS Grampian,2013,Male,All ages,185,65.23,S08000020
NHS Greater Glasgow & Clyde,2013,Male,All ages,584,106.77,S08000021
NHS Highland,2013,Male,All ages,142,90.9,S08000022
NHS Lanarkshire,2013,Male,All ages,333,105.86,S08000023
NHS Lothian,2013,Male,All ages,418,101.86,S08000024
NHS Orkney Islands,2013,Male,All ages,3,28.06,S08000025
NHS Shetland Islands,2013,Male,All ages,6,50.98,S08000026
NHS Tayside,2013,Male,All ages,193,96.69,S08000030
NHS Western Isles,2013,Male,All ages,7,51.45,S08000028
Other,2013,Male,All ages,39,-,Other
NHS Scotland,2013,Male,All ages,2513,97.51,NHS Scotland
NHS Ayrshire & Arran,2014,Both,00-14,153,260.83,S08000015
NHS Borders,2014,Both,00-14,43,242.17,S08000016
NHS Dumfries & Galloway,2014,Both,00-14,37,164.61,S08000017
NHS Fife,2014,Both,00-14,106,176.35,S08000029
NHS Forth Valley,2014,Both,00-14,78,157.28,S08000019
NHS Grampian,2014,Both,00-14,120,130.92,S08000020
NHS Greater Glasgow & Clyde,2014,Both,00-14,507,282.66,S08000021
NHS Highland,2014,Both,00-14,93,183.84,S08000022
NHS Lanarkshire,2014,Both,00-14,282,253.36,S08000023
NHS Lothian,2014,Both,00-14,327,241.3,S08000024
NHS Orkney Islands,2014,Both,00-14,3,91.16,S08000025
NHS Shetland Islands,2014,Both,00-14,2,49.18,S08000026
NHS Tayside,2014,Both,00-14,140,221.14,S08000030
NHS Western Isles,2014,Both,00-14,4,95.88,S08000028
Other,2014,Both,00-14,20,-,Other
NHS Scotland,2014,Both,00-14,1915,224.8,NHS Scotland
NHS Ayrshire & Arran,2014,Both,15-24,51,116.33,S08000015
NHS Borders,2014,Both,15-24,13,111.18,S08000016
NHS Dumfries & Galloway,2014,Both,15-24,20,123.11,S08000017
NHS Fife,2014,Both,15-24,73,156.97,S08000029
NHS Forth Valley,2014,Both,15-24,29,75.94,S08000019
NHS Grampian,2014,Both,15-24,53,69.58,S08000020
NHS Greater Glasgow & Clyde,2014,Both,15-24,195,123.51,S08000021
NHS Highland,2014,Both,15-24,44,127.11,S08000022
NHS Lanarkshire,2014,Both,15-24,74,94.04,S08000023
NHS Lothian,2014,Both,15-24,109,93.43,S08000024
NHS Orkney Islands,2014,Both,15-24,1,41.27,S08000025
NHS Shetland Islands,2014,Both,15-24,3,111.73,S08000026
NHS Tayside,2014,Both,15-24,53,95.61,S08000030
NHS Western Isles,2014,Both,15-24,2,73.05,S08000028
Other,2014,Both,15-24,5,-,Other
NHS Scotland,2014,Both,15-24,725,106.03,NHS Scotland
NHS Ayrshire & Arran,2014,Both,25-34,31,78.11,S08000015
NHS Borders,2014,Both,25-34,11,107.66,S08000016
NHS Dumfries & Galloway,2014,Both,25-34,16,109.81,S08000017
NHS Fife,2014,Both,25-34,50,118.62,S08000029
NHS Forth Valley,2014,Both,25-34,30,86.55,S08000019
NHS Grampian,2014,Both,25-34,43,52.82,S08000020
NHS Greater Glasgow & Clyde,2014,Both,25-34,170,102.01,S08000021
NHS Highland,2014,Both,25-34,30,87.37,S08000022
NHS Lanarkshire,2014,Both,25-34,57,71.11,S08000023
NHS Lothian,2014,Both,25-34,112,85.56,S08000024
NHS Orkney Islands,2014,Both,25-34,6,266.43,S08000025
NHS Tayside,2014,Both,25-34,46,91.14,S08000030
NHS Western Isles,2014,Both,25-34,1,37.99,S08000028
Other,2014,Both,25-34,6,-,Other
NHS Scotland,2014,Both,25-34,609,87.91,NHS Scotland
NHS Ayrshire & Arran,2014,Both,35-44,58,127.51,S08000015
NHS Borders,2014,Both,35-44,10,72.91,S08000016
NHS Dumfries & Galloway,2014,Both,35-44,17,101.38,S08000017
NHS Fife,2014,Both,35-44,57,121.73,S08000029
NHS Forth Valley,2014,Both,35-44,41,100.75,S08000019
NHS Grampian,2014,Both,35-44,36,46.47,S08000020
NHS Greater Glasgow & Clyde,2014,Both,35-44,157,107.25,S08000021
NHS Highland,2014,Both,35-44,18,46.97,S08000022
NHS Lanarkshire,2014,Both,35-44,93,105.12,S08000023
NHS Lothian,2014,Both,35-44,122,104.21,S08000024
NHS Orkney Islands,2014,Both,35-44,2,79.68,S08000025
NHS Tayside,2014,Both,35-44,45,93.3,S08000030
NHS Western Isles,2014,Both,35-44,1,29.56,S08000028
Other,2014,Both,35-44,6,-,Other
NHS Scotland,2014,Both,35-44,663,96.31,NHS Scotland
NHS Ayrshire & Arran,2014,Both,45-54,61,106.16,S08000015
NHS Borders,2014,Both,45-54,12,65.64,S08000016
NHS Dumfries & Galloway,2014,Both,45-54,12,51.35,S08000017
NHS Fife,2014,Both,45-54,45,81.47,S08000029
NHS Forth Valley,2014,Both,45-54,43,92.51,S08000019
NHS Grampian,2014,Both,45-54,45,53.5,S08000020
NHS Greater Glasgow & Clyde,2014,Both,45-54,202,118.28,S08000021
NHS Highland,2014,Both,45-54,46,92.16,S08000022
NHS Lanarkshire,2014,Both,45-54,103,100.94,S08000023
NHS Lothian,2014,Both,45-54,128,105.43,S08000024
NHS Orkney Islands,2014,Both,45-54,2,58.17,S08000025
NHS Shetland Islands,2014,Both,45-54,2,57.36,S08000026
NHS Tayside,2014,Both,45-54,26,43.28,S08000030
Other,2014,Both,45-54,8,-,Other
NHS Scotland,2014,Both,45-54,735,91.85,NHS Scotland
NHS Ayrshire & Arran,2014,Both,55-64,49,96.73,S08000015
NHS Borders,2014,Both,55-64,8,48.47,S08000016
NHS Dumfries & Galloway,2014,Both,55-64,16,73.39,S08000017
NHS Fife,2014,Both,55-64,34,72.26,S08000029
NHS Forth Valley,2014,Both,55-64,24,64.41,S08000019
NHS Grampian,2014,Both,55-64,41,57.09,S08000020
NHS Greater Glasgow & Clyde,2014,Both,55-64,119,89.88,S08000021
NHS Highland,2014,Both,55-64,42,91.27,S08000022
NHS Lanarkshire,2014,Both,55-64,68,82.88,S08000023
NHS Lothian,2014,Both,55-64,87,91.13,S08000024
NHS Orkney Islands,2014,Both,55-64,1,32.4,S08000025
NHS Tayside,2014,Both,55-64,16,30.48,S08000030
NHS Western Isles,2014,Both,55-64,2,49.79,S08000028
Other,2014,Both,55-64,5,-,Other
NHS Scotland,2014,Both,55-64,512,77.14,NHS Scotland
NHS Ayrshire & Arran,2014,Both,65-74,21,48.82,S08000015
NHS Borders,2014,Both,65-74,10,69.28,S08000016
NHS Dumfries & Galloway,2014,Both,65-74,9,46.4,S08000017
NHS Fife,2014,Both,65-74,21,53.83,S08000029
NHS Forth Valley,2014,Both,65-74,18,60.04,S08000019
NHS Grampian,2014,Both,65-74,26,48.78,S08000020
NHS Greater Glasgow & Clyde,2014,Both,65-74,98,99.66,S08000021
NHS Highland,2014,Both,65-74,34,89.39,S08000022
NHS Lanarkshire,2014,Both,65-74,45,72.29,S08000023
NHS Lothian,2014,Both,65-74,50,69.29,S08000024
NHS Shetland Islands,2014,Both,65-74,1,41.81,S08000026
NHS Tayside,2014,Both,65-74,20,45.54,S08000030
NHS Western Isles,2014,Both,65-74,6,175.49,S08000028
Other,2014,Both,65-74,6,-,Other
NHS Scotland,2014,Both,65-74,365,69.88,NHS Scotland
NHS Ayrshire & Arran,2014,Both,65+,53,69.33,S08000015
NHS Borders,2014,Both,65+,22,85.56,S08000016
NHS Dumfries & Galloway,2014,Both,65+,18,51.36,S08000017
NHS Fife,2014,Both,65+,33,47.81,S08000029
NHS Forth Valley,2014,Both,65+,32,60.61,S08000019
NHS Grampian,2014,Both,65+,47,48.66,S08000020
NHS Greater Glasgow & Clyde,2014,Both,65+,208,112.76,S08000021
NHS Highland,2014,Both,65+,65,96.75,S08000022
NHS Lanarkshire,2014,Both,65+,90,81.91,S08000023
NHS Lothian,2014,Both,65+,110,82.9,S08000024
NHS Orkney Islands,2014,Both,65+,2,43.86,S08000025
NHS Shetland Islands,2014,Both,65+,3,73.05,S08000026
NHS Tayside,2014,Both,65+,40,48.69,S08000030
NHS Western Isles,2014,Both,65+,11,175.44,S08000028
Other,2014,Both,65+,15,-,Other
NHS Scotland,2014,Both,65+,749,79.1,NHS Scotland
NHS Ayrshire & Arran,2014,Both,75-84,26,104.54,S08000015
NHS Borders,2014,Both,75-84,9,108.56,S08000016
NHS Dumfries & Galloway,2014,Both,75-84,8,68.73,S08000017
NHS Fife,2014,Both,75-84,8,36.3,S08000029
NHS Forth Valley,2014,Both,75-84,10,58.27,S08000019
NHS Grampian,2014,Both,75-84,14,44.27,S08000020
NHS Greater Glasgow & Clyde,2014,Both,75-84,84,131.71,S08000021
NHS Highland,2014,Both,75-84,20,92.58,S08000022
NHS Lanarkshire,2014,Both,75-84,32,87.92,S08000023
NHS Lothian,2014,Both,75-84,37,83.95,S08000024
NHS Orkney Islands,2014,Both,75-84,1,71.43,S08000025
NHS Shetland Islands,2014,Both,75-84,1,80.26,S08000026
NHS Tayside,2014,Both,75-84,14,50.55,S08000030
NHS Western Isles,2014,Both,75-84,4,194.84,S08000028
Other,2014,Both,75-84,8,-,Other
NHS Scotland,2014,Both,75-84,276,87.94,NHS Scotland
NHS Ayrshire & Arran,2014,Both,75+,32,95.73,S08000015
NHS Borders,2014,Both,75+,12,106.39,S08000016
NHS Dumfries & Galloway,2014,Both,75+,9,57.52,S08000017
NHS Fife,2014,Both,75+,12,40,S08000029
NHS Forth Valley,2014,Both,75+,14,61.37,S08000019
NHS Grampian,2014,Both,75+,21,48.52,S08000020
NHS Greater Glasgow & Clyde,2014,Both,75+,110,127.72,S08000021
NHS Highland,2014,Both,75+,31,106.36,S08000022
NHS Lanarkshire,2014,Both,75+,45,94.48,S08000023
NHS Lothian,2014,Both,75+,60,99.12,S08000024
NHS Orkney Islands,2014,Both,75+,2,104.6,S08000025
NHS Shetland Islands,2014,Both,75+,2,116.62,S08000026
NHS Tayside,2014,Both,75+,20,52.31,S08000030
NHS Western Isles,2014,Both,75+,5,175.38,S08000028
Other,2014,Both,75+,9,-,Other
NHS Scotland,2014,Both,75+,384,90.44,NHS Scotland
NHS Ayrshire & Arran,2014,Both,85+,6,70.13,S08000015
NHS Borders,2014,Both,85+,3,100.37,S08000016
NHS Dumfries & Galloway,2014,Both,85+,1,24.94,S08000017
NHS Fife,2014,Both,85+,4,50.23,S08000029
NHS Forth Valley,2014,Both,85+,4,70.8,S08000019
NHS Grampian,2014,Both,85+,7,60.05,S08000020
NHS Greater Glasgow & Clyde,2014,Both,85+,26,116.32,S08000021
NHS Highland,2014,Both,85+,11,145.85,S08000022
NHS Lanarkshire,2014,Both,85+,13,115.71,S08000023
NHS Lothian,2014,Both,85+,23,139.72,S08000024
NHS Orkney Islands,2014,Both,85+,1,195.31,S08000025
NHS Shetland Islands,2014,Both,85+,1,213.22,S08000026
NHS Tayside,2014,Both,85+,6,56.95,S08000030
NHS Western Isles,2014,Both,85+,1,125.31,S08000028
Other,2014,Both,85+,1,-,Other
NHS Scotland,2014,Both,85+,108,97.54,NHS Scotland
NHS Ayrshire & Arran,2014,Both,All ages,456,122.5,S08000015
NHS Borders,2014,Both,All ages,119,104.5,S08000016
NHS Dumfries & Galloway,2014,Both,All ages,136,90.5,S08000017
NHS Fife,2014,Both,All ages,398,108.48,S08000029
NHS Forth Valley,2014,Both,All ages,277,92.44,S08000019
NHS Grampian,2014,Both,All ages,385,66.47,S08000020
NHS Greater Glasgow & Clyde,2014,Both,All ages,1558,136.92,S08000021
NHS Highland,2014,Both,All ages,338,105.3,S08000022
NHS Lanarkshire,2014,Both,All ages,767,117.53,S08000023
NHS Lothian,2014,Both,All ages,995,117.1,S08000024
NHS Orkney Islands,2014,Both,All ages,17,78.85,S08000025
NHS Shetland Islands,2014,Both,All ages,10,43.1,S08000026
NHS Tayside,2014,Both,All ages,366,88.8,S08000030
NHS Western Isles,2014,Both,All ages,21,76.64,S08000028
Other,2014,Both,All ages,65,-,Other
NHS Scotland,2014,Both,All ages,5908,110.89,NHS Scotland
NHS Ayrshire & Arran,2014,Female,00-14,70,243.03,S08000015
NHS Borders,2014,Female,00-14,28,320.88,S08000016
NHS Dumfries & Galloway,2014,Female,00-14,11,100.92,S08000017
NHS Fife,2014,Female,00-14,50,171.5,S08000029
NHS Forth Valley,2014,Female,00-14,28,115.31,S08000019
NHS Grampian,2014,Female,00-14,43,96.53,S08000020
NHS Greater Glasgow & Clyde,2014,Female,00-14,211,240.11,S08000021
NHS Highland,2014,Female,00-14,31,125.79,S08000022
NHS Lanarkshire,2014,Female,00-14,117,214.3,S08000023
NHS Lothian,2014,Female,00-14,115,173.23,S08000024
NHS Orkney Islands,2014,Female,00-14,2,124.46,S08000025
NHS Shetland Islands,2014,Female,00-14,1,51.6,S08000026
NHS Tayside,2014,Female,00-14,64,206.97,S08000030
Other,2014,Female,00-14,8,-,Other
NHS Scotland,2014,Female,00-14,779,187.08,NHS Scotland
NHS Ayrshire & Arran,2014,Female,15-24,35,162.53,S08000015
NHS Borders,2014,Female,15-24,10,172.47,S08000016
NHS Dumfries & Galloway,2014,Female,15-24,13,162.76,S08000017
NHS Fife,2014,Female,15-24,59,251.85,S08000029
NHS Forth Valley,2014,Female,15-24,14,74.76,S08000019
NHS Grampian,2014,Female,15-24,34,90.86,S08000020
NHS Greater Glasgow & Clyde,2014,Female,15-24,134,170.28,S08000021
NHS Highland,2014,Female,15-24,24,148.49,S08000022
NHS Lanarkshire,2014,Female,15-24,43,111.54,S08000023
NHS Lothian,2014,Female,15-24,79,133.3,S08000024
NHS Orkney Islands,2014,Female,15-24,1,87.49,S08000025
NHS Shetland Islands,2014,Female,15-24,2,155.16,S08000026
NHS Tayside,2014,Female,15-24,37,135.29,S08000030
NHS Western Isles,2014,Female,15-24,1,76.28,S08000028
Other,2014,Female,15-24,2,-,Other
NHS Scotland,2014,Female,15-24,488,144.1,NHS Scotland
NHS Ayrshire & Arran,2014,Female,25-34,25,121.12,S08000015
NHS Borders,2014,Female,25-34,9,171.53,S08000016
NHS Dumfries & Galloway,2014,Female,25-34,11,146.26,S08000017
NHS Fife,2014,Female,25-34,38,174.62,S08000029
NHS Forth Valley,2014,Female,25-34,20,111.73,S08000019
NHS Grampian,2014,Female,25-34,34,84.82,S08000020
NHS Greater Glasgow & Clyde,2014,Female,25-34,120,142.89,S08000021
NHS Highland,2014,Female,25-34,22,129.16,S08000022
NHS Lanarkshire,2014,Female,25-34,51,123.2,S08000023
NHS Lothian,2014,Female,25-34,81,120.76,S08000024
NHS Orkney Islands,2014,Female,25-34,6,522.19,S08000025
NHS Tayside,2014,Female,25-34,32,126.05,S08000030
Other,2014,Female,25-34,4,-,Other
NHS Scotland,2014,Female,25-34,453,128.76,NHS Scotland
NHS Ayrshire & Arran,2014,Female,35-44,51,211.73,S08000015
NHS Borders,2014,Female,35-44,8,111.54,S08000016
NHS Dumfries & Galloway,2014,Female,35-44,14,159.84,S08000017
NHS Fife,2014,Female,35-44,43,179.08,S08000029
NHS Forth Valley,2014,Female,35-44,33,157.8,S08000019
NHS Grampian,2014,Female,35-44,23,59.65,S08000020
NHS Greater Glasgow & Clyde,2014,Female,35-44,112,148.21,S08000021
NHS Highland,2014,Female,35-44,10,50.03,S08000022
NHS Lanarkshire,2014,Female,35-44,67,147.28,S08000023
NHS Lothian,2014,Female,35-44,92,156.4,S08000024
NHS Tayside,2014,Female,35-44,37,148.48,S08000030
Other,2014,Female,35-44,4,-,Other
NHS Scotland,2014,Female,35-44,494,140.02,NHS Scotland
NHS Ayrshire & Arran,2014,Female,45-54,46,153.37,S08000015
NHS Borders,2014,Female,45-54,10,107.85,S08000016
NHS Dumfries & Galloway,2014,Female,45-54,7,58.04,S08000017
NHS Fife,2014,Female,45-54,32,113.24,S08000029
NHS Forth Valley,2014,Female,45-54,31,131.29,S08000019
NHS Grampian,2014,Female,45-54,32,75.57,S08000020
NHS Greater Glasgow & Clyde,2014,Female,45-54,159,178.61,S08000021
NHS Highland,2014,Female,45-54,32,125.77,S08000022
NHS Lanarkshire,2014,Female,45-54,72,136.71,S08000023
NHS Lothian,2014,Female,45-54,100,162.73,S08000024
NHS Shetland Islands,2014,Female,45-54,2,118.27,S08000026
NHS Tayside,2014,Female,45-54,21,68.21,S08000030
Other,2014,Female,45-54,4,-,Other
NHS Scotland,2014,Female,45-54,548,133.55,NHS Scotland
NHS Ayrshire & Arran,2014,Female,55-64,36,136.86,S08000015
NHS Borders,2014,Female,55-64,4,47.74,S08000016
NHS Dumfries & Galloway,2014,Female,55-64,13,117.33,S08000017
NHS Fife,2014,Female,55-64,25,103.61,S08000029
NHS Forth Valley,2014,Female,55-64,20,104.97,S08000019
NHS Grampian,2014,Female,55-64,28,78.3,S08000020
NHS Greater Glasgow & Clyde,2014,Female,55-64,75,109.97,S08000021
NHS Highland,2014,Female,55-64,28,119.75,S08000022
NHS Lanarkshire,2014,Female,55-64,56,131.91,S08000023
NHS Lothian,2014,Female,55-64,55,112.76,S08000024
NHS Tayside,2014,Female,55-64,13,48.49,S08000030
NHS Western Isles,2014,Female,55-64,1,50.35,S08000028
Other,2014,Female,55-64,4,-,Other
NHS Scotland,2014,Female,55-64,358,105.49,NHS Scotland
NHS Ayrshire & Arran,2014,Female,65-74,12,52.94,S08000015
NHS Borders,2014,Female,65-74,6,80.54,S08000016
NHS Dumfries & Galloway,2014,Female,65-74,7,69.74,S08000017
NHS Fife,2014,Female,65-74,15,73.64,S08000029
NHS Forth Valley,2014,Female,65-74,11,69.6,S08000019
NHS Grampian,2014,Female,65-74,17,61.51,S08000020
NHS Greater Glasgow & Clyde,2014,Female,65-74,66,125.04,S08000021
NHS Highland,2014,Female,65-74,27,137.55,S08000022
NHS Lanarkshire,2014,Female,65-74,33,99.08,S08000023
NHS Lothian,2014,Female,65-74,37,96.62,S08000024
NHS Tayside,2014,Female,65-74,9,38.96,S08000030
NHS Western Isles,2014,Female,65-74,4,232.42,S08000028
Other,2014,Female,65-74,2,-,Other
NHS Scotland,2014,Female,65-74,246,89.35,NHS Scotland
NHS Ayrshire & Arran,2014,Female,65+,34,79.74,S08000015
NHS Borders,2014,Female,65+,13,93.02,S08000016
NHS Dumfries & Galloway,2014,Female,65+,14,73.71,S08000017
NHS Fife,2014,Female,65+,25,65.47,S08000029
NHS Forth Valley,2014,Female,65+,24,81.65,S08000019
NHS Grampian,2014,Female,65+,34,63.79,S08000020
NHS Greater Glasgow & Clyde,2014,Female,65+,150,140.54,S08000021
NHS Highland,2014,Female,65+,47,127.57,S08000022
NHS Lanarkshire,2014,Female,65+,69,110.37,S08000023
NHS Lothian,2014,Female,65+,84,112.01,S08000024
NHS Orkney Islands,2014,Female,65+,2,82.1,S08000025
NHS Shetland Islands,2014,Female,65+,1,46.15,S08000026
NHS Tayside,2014,Female,65+,26,56.54,S08000030
NHS Western Isles,2014,Female,65+,9,259.37,S08000028
Other,2014,Female,65+,8,-,Other
NHS Scotland,2014,Female,65+,540,101.57,NHS Scotland
NHS Ayrshire & Arran,2014,Female,75-84,16,112.87,S08000015
NHS Borders,2014,Female,75-84,5,109.34,S08000016
NHS Dumfries & Galloway,2014,Female,75-84,6,94.3,S08000017
NHS Fife,2014,Female,75-84,7,55.98,S08000029
NHS Forth Valley,2014,Female,75-84,9,91.98,S08000019
NHS Grampian,2014,Female,75-84,12,66.93,S08000020
NHS Greater Glasgow & Clyde,2014,Female,75-84,64,166.77,S08000021
NHS Highland,2014,Female,75-84,16,131.63,S08000022
NHS Lanarkshire,2014,Female,75-84,27,125.63,S08000023
NHS Lothian,2014,Female,75-84,28,109.37,S08000024
NHS Orkney Islands,2014,Female,75-84,1,130.21,S08000025
NHS Tayside,2014,Female,75-84,13,82.39,S08000030
NHS Western Isles,2014,Female,75-84,4,333.89,S08000028
Other,2014,Female,75-84,5,-,Other
NHS Scotland,2014,Female,75-84,213,117.43,NHS Scotland
NHS Ayrshire & Arran,2014,Female,75+,22,110.17,S08000015
NHS Borders,2014,Female,75+,7,107.26,S08000016
NHS Dumfries & Galloway,2014,Female,75+,7,78.17,S08000017
NHS Fife,2014,Female,75+,10,56.12,S08000029
NHS Forth Valley,2014,Female,75+,13,95.67,S08000019
NHS Grampian,2014,Female,75+,17,66.26,S08000020
NHS Greater Glasgow & Clyde,2014,Female,75+,84,155.7,S08000021
NHS Highland,2014,Female,75+,20,116.18,S08000022
NHS Lanarkshire,2014,Female,75+,36,123.25,S08000023
NHS Lothian,2014,Female,75+,47,128.07,S08000024
NHS Orkney Islands,2014,Female,75+,2,183.32,S08000025
NHS Shetland Islands,2014,Female,75+,1,99.3,S08000026
NHS Tayside,2014,Female,75+,17,74.28,S08000030
NHS Western Isles,2014,Female,75+,5,285.88,S08000028
Other,2014,Female,75+,6,-,Other
NHS Scotland,2014,Female,75+,294,114.7,NHS Scotland
NHS Ayrshire & Arran,2014,Female,85+,6,103.57,S08000015
NHS Borders,2014,Female,85+,2,102.41,S08000016
NHS Dumfries & Galloway,2014,Female,85+,1,38.58,S08000017
NHS Fife,2014,Female,85+,3,56.47,S08000029
NHS Forth Valley,2014,Female,85+,4,105.15,S08000019
NHS Grampian,2014,Female,85+,5,64.69,S08000020
NHS Greater Glasgow & Clyde,2014,Female,85+,20,128.43,S08000021
NHS Highland,2014,Female,85+,4,79.07,S08000022
NHS Lanarkshire,2014,Female,85+,9,116.6,S08000023
NHS Lothian,2014,Female,85+,19,171.2,S08000024
NHS Orkney Islands,2014,Female,85+,1,309.6,S08000025
NHS Shetland Islands,2014,Female,85+,1,309.6,S08000026
NHS Tayside,2014,Female,85+,4,56.27,S08000030
NHS Western Isles,2014,Female,85+,1,181.49,S08000028
Other,2014,Female,85+,1,-,Other
NHS Scotland,2014,Female,85+,81,108.09,NHS Scotland
NHS Ayrshire & Arran,2014,Female,All ages,297,153.09,S08000015
NHS Borders,2014,Female,All ages,82,140.01,S08000016
NHS Dumfries & Galloway,2014,Female,All ages,83,107.37,S08000017
NHS Fife,2014,Female,All ages,272,143.97,S08000029
NHS Forth Valley,2014,Female,All ages,170,110.48,S08000019
NHS Grampian,2014,Female,All ages,228,78.08,S08000020
NHS Greater Glasgow & Clyde,2014,Female,All ages,961,162.86,S08000021
NHS Highland,2014,Female,All ages,194,118.66,S08000022
NHS Lanarkshire,2014,Female,All ages,475,140.67,S08000023
NHS Lothian,2014,Female,All ages,606,138.75,S08000024
NHS Orkney Islands,2014,Female,All ages,11,101.5,S08000025
NHS Shetland Islands,2014,Female,All ages,6,52.5,S08000026
NHS Tayside,2014,Female,All ages,230,108.41,S08000030
NHS Western Isles,2014,Female,All ages,11,79.25,S08000028
Other,2014,Female,All ages,34,-,Other
NHS Scotland,2014,Female,All ages,3660,133.53,NHS Scotland
NHS Ayrshire & Arran,2014,Male,00-14,83,277.99,S08000015
NHS Borders,2014,Male,00-14,15,166.11,S08000016
NHS Dumfries & Galloway,2014,Male,00-14,26,224.56,S08000017
NHS Fife,2014,Male,00-14,56,180.91,S08000029
NHS Forth Valley,2014,Male,00-14,50,197.53,S08000019
NHS Grampian,2014,Male,00-14,77,163.44,S08000020
NHS Greater Glasgow & Clyde,2014,Male,00-14,296,323.54,S08000021
NHS Highland,2014,Male,00-14,62,238.98,S08000022
NHS Lanarkshire,2014,Male,00-14,165,290.96,S08000023
NHS Lothian,2014,Male,00-14,212,306.66,S08000024
NHS Orkney Islands,2014,Male,00-14,1,59.38,S08000025
NHS Shetland Islands,2014,Male,00-14,1,46.97,S08000026
NHS Tayside,2014,Male,00-14,76,234.66,S08000030
NHS Western Isles,2014,Male,00-14,4,186.39,S08000028
Other,2014,Male,00-14,12,-,Other
NHS Scotland,2014,Male,00-14,1136,260.87,NHS Scotland
NHS Ayrshire & Arran,2014,Male,15-24,16,71.73,S08000015
NHS Borders,2014,Male,15-24,3,50.89,S08000016
NHS Dumfries & Galloway,2014,Male,15-24,7,84.76,S08000017
NHS Fife,2014,Male,15-24,14,60.66,S08000029
NHS Forth Valley,2014,Male,15-24,15,77.08,S08000019
NHS Grampian,2014,Male,15-24,19,49.03,S08000020
NHS Greater Glasgow & Clyde,2014,Male,15-24,61,77.03,S08000021
NHS Highland,2014,Male,15-24,20,108.39,S08000022
NHS Lanarkshire,2014,Male,15-24,31,77.22,S08000023
NHS Lothian,2014,Male,15-24,30,52.27,S08000024
NHS Shetland Islands,2014,Male,15-24,1,71.63,S08000026
NHS Tayside,2014,Male,15-24,16,56.97,S08000030
NHS Western Isles,2014,Male,15-24,1,70.08,S08000028
Other,2014,Male,15-24,3,-,Other
NHS Scotland,2014,Male,15-24,237,68.67,NHS Scotland
NHS Ayrshire & Arran,2014,Male,25-34,6,31.5,S08000015
NHS Borders,2014,Male,25-34,2,40.24,S08000016
NHS Dumfries & Galloway,2014,Male,25-34,5,70.92,S08000017
NHS Fife,2014,Male,25-34,12,58.85,S08000029
NHS Forth Valley,2014,Male,25-34,10,59.66,S08000019
NHS Grampian,2014,Male,25-34,9,21.78,S08000020
NHS Greater Glasgow & Clyde,2014,Male,25-34,50,60.48,S08000021
NHS Highland,2014,Male,25-34,8,46.23,S08000022
NHS Lanarkshire,2014,Male,25-34,6,15.48,S08000023
NHS Lothian,2014,Male,25-34,31,48.57,S08000024
NHS Tayside,2014,Male,25-34,14,55.81,S08000030
NHS Western Isles,2014,Male,25-34,1,76.86,S08000028
Other,2014,Male,25-34,2,-,Other
NHS Scotland,2014,Male,25-34,156,45.75,NHS Scotland
NHS Ayrshire & Arran,2014,Male,35-44,7,32.71,S08000015
NHS Borders,2014,Male,35-44,2,30.57,S08000016
NHS Dumfries & Galloway,2014,Male,35-44,3,37.45,S08000017
NHS Fife,2014,Male,35-44,14,61.36,S08000029
NHS Forth Valley,2014,Male,35-44,8,40.44,S08000019
NHS Grampian,2014,Male,35-44,13,33.41,S08000020
NHS Greater Glasgow & Clyde,2014,Male,35-44,45,63.54,S08000021
NHS Highland,2014,Male,35-44,8,43.63,S08000022
NHS Lanarkshire,2014,Male,35-44,26,60.5,S08000023
NHS Lothian,2014,Male,35-44,30,51.5,S08000024
NHS Orkney Islands,2014,Male,35-44,2,166.11,S08000025
NHS Tayside,2014,Male,35-44,8,34.32,S08000030
NHS Western Isles,2014,Male,35-44,1,59,S08000028
Other,2014,Male,35-44,2,-,Other
NHS Scotland,2014,Male,35-44,169,50.36,NHS Scotland
NHS Ayrshire & Arran,2014,Male,45-54,15,54.61,S08000015
NHS Borders,2014,Male,45-54,2,22.2,S08000016
NHS Dumfries & Galloway,2014,Male,45-54,5,44.21,S08000017
NHS Fife,2014,Male,45-54,13,48.19,S08000029
NHS Forth Valley,2014,Male,45-54,12,52.48,S08000019
NHS Grampian,2014,Male,45-54,13,31.13,S08000020
