FeatureCode,DateCode,Measurement,Units,Value
S12000014,2016/2017,Count,Hospital Discharges,195
S12000010,2016/2017,Count,Hospital Discharges,102
S12000008,2016/2017,Count,Hospital Discharges,381
S12000011,2016/2017,Count,Hospital Discharges,54
S12000020,1997/1998,Count,Hospital Discharges,9
S12000019,2016/2017,Count,Hospital Discharges,108
S12000020,2016/2017,Count,Hospital Discharges,75
S12000017,2016/2017,Count,Hospital Discharges,225
S12000018,2016/2017,Count,Hospital Discharges,246
S12000042,2012/2013,Count,Hospital Discharges,306
S12000042,2011/2012,Count,Hospital Discharges,330
S12000042,2013/2014,Count,Hospital Discharges,357
S12000042,2009/2010,Count,Hospital Discharges,291
S12000042,2008/2009,Count,Hospital Discharges,249
S12000042,2010/2011,Count,Hospital Discharges,330
S12000045,1998/1999,Count,Hospital Discharges,30
S12000045,1997/1998,Count,Hospital Discharges,24
S12000045,1999/2000,Count,Hospital Discharges,39
S12000042,2014/2015,Count,Hospital Discharges,369
S12000042,2015/2016,Count,Hospital Discharges,354
S12000042,2001/2002,Count,Hospital Discharges,102
S12000042,2000/2001,Count,Hospital Discharges,111
S12000042,2002/2003,Count,Hospital Discharges,108
S12000042,1998/1999,Count,Hospital Discharges,108
S12000042,1997/1998,Count,Hospital Discharges,129
S12000042,1999/2000,Count,Hospital Discharges,93
S12000042,2006/2007,Count,Hospital Discharges,108
S12000042,2005/2006,Count,Hospital Discharges,93
S12000042,2007/2008,Count,Hospital Discharges,141
S12000042,2003/2004,Count,Hospital Discharges,84
S12000042,2004/2005,Count,Hospital Discharges,81
S12000045,2014/2015,Count,Hospital Discharges,57
S12000045,2013/2014,Count,Hospital Discharges,42
S12000045,2015/2016,Count,Hospital Discharges,69
S12000045,2011/2012,Count,Hospital Discharges,45
S12000045,2010/2011,Count,Hospital Discharges,48
S12000045,2012/2013,Count,Hospital Discharges,45
S08000017,2016/2017,Count,Hospital Discharges,231
S08000016,2016/2017,Count,Hospital Discharges,90
S08000019,2016/2017,Count,Hospital Discharges,408
S92000003,2016/2017,Count,Hospital Discharges,9525
S08000015,2016/2017,Count,Hospital Discharges,1137
S12000045,2003/2004,Count,Hospital Discharges,24
S12000045,2002/2003,Count,Hospital Discharges,54
S12000045,2004/2005,Count,Hospital Discharges,30
S12000045,2000/2001,Count,Hospital Discharges,45
S12000045,2001/2002,Count,Hospital Discharges,39
S12000045,2008/2009,Count,Hospital Discharges,36
S12000045,2007/2008,Count,Hospital Discharges,45
S12000045,2009/2010,Count,Hospital Discharges,42
S12000045,2005/2006,Count,Hospital Discharges,27
S12000045,2006/2007,Count,Hospital Discharges,36
S08000029,1997/1998,Count,Hospital Discharges,120
S08000029,1996/1997,Count,Hospital Discharges,126
S08000029,1998/1999,Count,Hospital Discharges,165
S12000048,2015/2016,Count,Hospital Discharges,156
S12000048,2014/2015,Count,Hospital Discharges,126
S12000048,2016/2017,Count,Hospital Discharges,147
S08000029,2002/2003,Count,Hospital Discharges,264
S08000029,2001/2002,Count,Hospital Discharges,234
S08000029,2003/2004,Count,Hospital Discharges,276
S08000029,1999/2000,Count,Hospital Discharges,243
S08000029,2000/2001,Count,Hospital Discharges,300
S12000048,2007/2008,Count,Hospital Discharges,132
S12000048,2006/2007,Count,Hospital Discharges,114
S12000048,2008/2009,Count,Hospital Discharges,117
S12000048,2004/2005,Count,Hospital Discharges,87
S12000048,2003/2004,Count,Hospital Discharges,96
S12000048,2005/2006,Count,Hospital Discharges,81
S12000048,2012/2013,Count,Hospital Discharges,141
S12000048,2011/2012,Count,Hospital Discharges,138
S12000048,2013/2014,Count,Hospital Discharges,144
S12000048,2009/2010,Count,Hospital Discharges,120
S12000048,2010/2011,Count,Hospital Discharges,126
S08000030,1997/1998,Count,Hospital Discharges,198
S08000030,1996/1997,Count,Hospital Discharges,159
S08000030,1998/1999,Count,Hospital Discharges,168
S08000029,2015/2016,Count,Hospital Discharges,645
S08000029,2014/2015,Count,Hospital Discharges,675
S08000029,2016/2017,Count,Hospital Discharges,756
S08000030,2002/2003,Count,Hospital Discharges,246
S08000030,2001/2002,Count,Hospital Discharges,171
S08000030,2003/2004,Count,Hospital Discharges,210
S08000030,1999/2000,Count,Hospital Discharges,189
S08000030,2000/2001,Count,Hospital Discharges,198
S08000029,2007/2008,Count,Hospital Discharges,405
S08000029,2006/2007,Count,Hospital Discharges,399
S08000029,2008/2009,Count,Hospital Discharges,441
S08000029,2004/2005,Count,Hospital Discharges,354
S08000029,2005/2006,Count,Hospital Discharges,390
S08000029,2012/2013,Count,Hospital Discharges,582
S08000029,2011/2012,Count,Hospital Discharges,462
S08000029,2013/2014,Count,Hospital Discharges,750
S08000029,2009/2010,Count,Hospital Discharges,441
S08000029,2010/2011,Count,Hospital Discharges,399
S12000042,2016/2017,Count,Hospital Discharges,384
S12000041,2016/2017,Count,Hospital Discharges,66
S12000045,2016/2017,Count,Hospital Discharges,84
S12000039,2016/2017,Count,Hospital Discharges,225
S12000038,2016/2017,Count,Hospital Discharges,351
S12000040,2016/2017,Count,Hospital Discharges,321
S12000047,2000/2001,Count,Hospital Discharges,300
S12000047,1999/2000,Count,Hospital Discharges,243
S12000047,2001/2002,Count,Hospital Discharges,234
S12000047,1997/1998,Count,Hospital Discharges,120
S12000047,1998/1999,Count,Hospital Discharges,165
S12000028,2016/2017,Count,Hospital Discharges,246
S12000027,2016/2017,Count,Hospital Discharges,27
S12000029,2016/2017,Count,Hospital Discharges,450
S12000026,2016/2017,Count,Hospital Discharges,90
S12000023,2016/2017,Count,Hospital Discharges,6
S12000027,2000/2001,Count,Hospital Discharges,0
S12000035,2016/2017,Count,Hospital Discharges,84
S12000034,2016/2017,Count,Hospital Discharges,147
S12000036,2016/2017,Count,Hospital Discharges,777
S12000030,2016/2017,Count,Hospital Discharges,144
S12000033,2016/2017,Count,Hospital Discharges,408
S12000047,2016/2017,Count,Hospital Discharges,756
S12000047,2015/2016,Count,Hospital Discharges,645
S12000048,1997/1998,Count,Hospital Discharges,39
S12000047,2013/2014,Count,Hospital Discharges,750
S12000047,2012/2013,Count,Hospital Discharges,582
S12000047,2014/2015,Count,Hospital Discharges,675
S12000048,2001/2002,Count,Hospital Discharges,42
S12000048,2000/2001,Count,Hospital Discharges,57
S12000048,2002/2003,Count,Hospital Discharges,99
S12000048,1998/1999,Count,Hospital Discharges,39
S12000048,1999/2000,Count,Hospital Discharges,69
S12000047,2005/2006,Count,Hospital Discharges,390
S12000047,2004/2005,Count,Hospital Discharges,354
S12000047,2006/2007,Count,Hospital Discharges,399
S12000047,2002/2003,Count,Hospital Discharges,264
S12000047,2003/2004,Count,Hospital Discharges,276
S12000047,2010/2011,Count,Hospital Discharges,399
S12000047,2009/2010,Count,Hospital Discharges,441
S12000047,2011/2012,Count,Hospital Discharges,462
S12000047,2007/2008,Count,Hospital Discharges,405
S12000047,2008/2009,Count,Hospital Discharges,441
S08000028,1997/1998,Count,Hospital Discharges,0
S12000010,1997/1998,Count,Hospital Discharges,33
S08000028,2000/2001,Count,Hospital Discharges,6
S08000028,1999/2000,Count,Hospital Discharges,9
S12000010,1999/2000,Count,Hospital Discharges,39
S12000010,2000/2001,Count,Hospital Discharges,36
S12000010,1998/1999,Count,Hospital Discharges,42
S08000028,2005/2006,Count,Hospital Discharges,12
S08000028,2004/2005,Count,Hospital Discharges,15
S08000028,2006/2007,Count,Hospital Discharges,12
S08000028,2002/2003,Count,Hospital Discharges,9
S08000028,2001/2002,Count,Hospital Discharges,6
S08000028,2003/2004,Count,Hospital Discharges,12
S12000010,2009/2010,Count,Hospital Discharges,63
S12000010,2010/2011,Count,Hospital Discharges,78
S12000010,2007/2008,Count,Hospital Discharges,69
S12000010,2008/2009,Count,Hospital Discharges,84
S12000010,2012/2013,Count,Hospital Discharges,78
S12000010,2013/2014,Count,Hospital Discharges,111
S12000010,2011/2012,Count,Hospital Discharges,102
S12000010,2002/2003,Count,Hospital Discharges,48
S12000010,2003/2004,Count,Hospital Discharges,39
S12000010,2001/2002,Count,Hospital Discharges,48
S12000010,2005/2006,Count,Hospital Discharges,63
S12000010,2006/2007,Count,Hospital Discharges,78
S12000010,2004/2005,Count,Hospital Discharges,60
S12000008,2014/2015,Count,Hospital Discharges,318
S12000008,2015/2016,Count,Hospital Discharges,303
S08000017,2002/2003,Count,Hospital Discharges,129
S12000008,2013/2014,Count,Hospital Discharges,291
S08000017,2000/2001,Count,Hospital Discharges,90
S08000017,1999/2000,Count,Hospital Discharges,78
S08000017,2001/2002,Count,Hospital Discharges,135
S08000017,2007/2008,Count,Hospital Discharges,138
S08000017,2006/2007,Count,Hospital Discharges,117
S08000017,2008/2009,Count,Hospital Discharges,153
S08000017,2004/2005,Count,Hospital Discharges,90
S08000017,2003/2004,Count,Hospital Discharges,99
S08000017,2005/2006,Count,Hospital Discharges,105
S08000028,2011/2012,Count,Hospital Discharges,12
S08000028,2010/2011,Count,Hospital Discharges,9
S08000028,2012/2013,Count,Hospital Discharges,9
S08000028,2008/2009,Count,Hospital Discharges,6
S08000028,2007/2008,Count,Hospital Discharges,9
S08000028,2009/2010,Count,Hospital Discharges,6
S08000017,1997/1998,Count,Hospital Discharges,72
S08000017,1996/1997,Count,Hospital Discharges,42
S08000017,1998/1999,Count,Hospital Discharges,81
S08000020,2015/2016,Count,Hospital Discharges,621
S08000028,2013/2014,Count,Hospital Discharges,12
S08000020,2014/2015,Count,Hospital Discharges,558
S12000011,2001/2002,Count,Hospital Discharges,30
S12000011,2002/2003,Count,Hospital Discharges,24
S12000011,1999/2000,Count,Hospital Discharges,27
S12000011,2000/2001,Count,Hospital Discharges,24
S12000011,2004/2005,Count,Hospital Discharges,39
S12000011,2005/2006,Count,Hospital Discharges,33
S12000011,2003/2004,Count,Hospital Discharges,27
S08000022,2000/2001,Count,Hospital Discharges,96
S08000022,2001/2002,Count,Hospital Discharges,93
S08000022,1999/2000,Count,Hospital Discharges,102
S12000011,1997/1998,Count,Hospital Discharges,21
S12000011,1998/1999,Count,Hospital Discharges,15
S08000022,2002/2003,Count,Hospital Discharges,117
S08000026,2014/2015,Count,Hospital Discharges,21
S08000022,2004/2005,Count,Hospital Discharges,144
S08000022,2003/2004,Count,Hospital Discharges,141
S08000026,2015/2016,Count,Hospital Discharges,24
S08000022,2006/2007,Count,Hospital Discharges,147
S08000022,2007/2008,Count,Hospital Discharges,198
S08000022,2005/2006,Count,Hospital Discharges,147
S12000011,2007/2008,Count,Hospital Discharges,42
S12000011,2008/2009,Count,Hospital Discharges,60
S12000011,2006/2007,Count,Hospital Discharges,45
S12000011,2010/2011,Count,Hospital Discharges,45
S12000011,2011/2012,Count,Hospital Discharges,45
S12000011,2009/2010,Count,Hospital Discharges,54
S08000016,2012/2013,Count,Hospital Discharges,81
S08000016,2011/2012,Count,Hospital Discharges,102
S08000016,2014/2015,Count,Hospital Discharges,81
S08000016,2013/2014,Count,Hospital Discharges,90
S08000016,2009/2010,Count,Hospital Discharges,69
S08000016,2008/2009,Count,Hospital Discharges,75
S08000016,2010/2011,Count,Hospital Discharges,84
S12000010,2015/2016,Count,Hospital Discharges,117
S08000022,1996/1997,Count,Hospital Discharges,54
S12000010,2014/2015,Count,Hospital Discharges,120
S08000016,2015/2016,Count,Hospital Discharges,87
S08000022,1998/1999,Count,Hospital Discharges,78
S08000022,1997/1998,Count,Hospital Discharges,60
S08000016,2000/2001,Count,Hospital Discharges,42
S08000016,1999/2000,Count,Hospital Discharges,33
S08000016,2001/2002,Count,Hospital Discharges,36
S08000016,1997/1998,Count,Hospital Discharges,36
S08000016,1996/1997,Count,Hospital Discharges,24
S08000016,1998/1999,Count,Hospital Discharges,30
S08000016,2006/2007,Count,Hospital Discharges,57
S08000016,2005/2006,Count,Hospital Discharges,57
S08000016,2007/2008,Count,Hospital Discharges,81
S08000016,2003/2004,Count,Hospital Discharges,45
S08000016,2002/2003,Count,Hospital Discharges,60
S08000016,2004/2005,Count,Hospital Discharges,45
S12000006,2009/2010,Count,Hospital Discharges,171
S12000006,2010/2011,Count,Hospital Discharges,162
S12000006,2007/2008,Count,Hospital Discharges,138
S12000006,2008/2009,Count,Hospital Discharges,153
S12000006,2012/2013,Count,Hospital Discharges,174
S12000005,2012/2013,Count,Hospital Discharges,33
S12000006,2011/2012,Count,Hospital Discharges,168
S12000006,2002/2003,Count,Hospital Discharges,129
S12000006,2003/2004,Count,Hospital Discharges,99
S12000006,2001/2002,Count,Hospital Discharges,135
S12000006,2005/2006,Count,Hospital Discharges,105
S12000006,2006/2007,Count,Hospital Discharges,117
S12000006,2004/2005,Count,Hospital Discharges,90
S12000005,2003/2004,Count,Hospital Discharges,30
S12000005,2002/2003,Count,Hospital Discharges,42
S12000005,2005/2006,Count,Hospital Discharges,21
S12000005,2004/2005,Count,Hospital Discharges,27
S12000005,2000/2001,Count,Hospital Discharges,27
S12000005,1999/2000,Count,Hospital Discharges,33
S12000005,2001/2002,Count,Hospital Discharges,27
S12000005,2010/2011,Count,Hospital Discharges,39
S12000005,2009/2010,Count,Hospital Discharges,36
S12000005,2011/2012,Count,Hospital Discharges,39
S12000005,2007/2008,Count,Hospital Discharges,45
S12000005,2006/2007,Count,Hospital Discharges,27
S12000005,2008/2009,Count,Hospital Discharges,51
S08000019,2010/2011,Count,Hospital Discharges,252
S08000019,2009/2010,Count,Hospital Discharges,246
S08000019,2012/2013,Count,Hospital Discharges,213
S08000019,2011/2012,Count,Hospital Discharges,201
S08000019,2007/2008,Count,Hospital Discharges,180
S08000019,2006/2007,Count,Hospital Discharges,132
S08000019,2008/2009,Count,Hospital Discharges,228
S12000005,2015/2016,Count,Hospital Discharges,84
S12000005,2013/2014,Count,Hospital Discharges,48
S12000005,2014/2015,Count,Hospital Discharges,42
S08000019,2014/2015,Count,Hospital Discharges,297
S08000019,2013/2014,Count,Hospital Discharges,270
S08000019,2015/2016,Count,Hospital Discharges,387
S08000019,1998/1999,Count,Hospital Discharges,150
S12000006,1997/1998,Count,Hospital Discharges,72
S08000019,1999/2000,Count,Hospital Discharges,177
S12000006,1999/2000,Count,Hospital Discharges,78
S12000006,2000/2001,Count,Hospital Discharges,90
S12000006,1998/1999,Count,Hospital Discharges,81
S08000019,2004/2005,Count,Hospital Discharges,156
S08000019,2003/2004,Count,Hospital Discharges,156
S08000019,2005/2006,Count,Hospital Discharges,126
S08000019,2001/2002,Count,Hospital Discharges,180
S08000019,2000/2001,Count,Hospital Discharges,147
S08000019,2002/2003,Count,Hospital Discharges,210
S12000008,2008/2009,Count,Hospital Discharges,255
S12000008,2009/2010,Count,Hospital Discharges,279
S12000008,2006/2007,Count,Hospital Discharges,243
S12000008,2007/2008,Count,Hospital Discharges,294
S12000008,2011/2012,Count,Hospital Discharges,360
S12000008,2012/2013,Count,Hospital Discharges,300
S12000008,2010/2011,Count,Hospital Discharges,324
S12000008,2001/2002,Count,Hospital Discharges,222
S12000008,2002/2003,Count,Hospital Discharges,243
S12000008,2000/2001,Count,Hospital Discharges,147
S12000008,2004/2005,Count,Hospital Discharges,222
S12000008,2005/2006,Count,Hospital Discharges,207
S12000008,2003/2004,Count,Hospital Discharges,204
S08000017,2013/2014,Count,Hospital Discharges,192
S08000017,2012/2013,Count,Hospital Discharges,174
S08000017,2014/2015,Count,Hospital Discharges,171
S08000017,2010/2011,Count,Hospital Discharges,162
S08000017,2009/2010,Count,Hospital Discharges,171
S08000017,2011/2012,Count,Hospital Discharges,168
S08000028,2014/2015,Count,Hospital Discharges,15
S08000020,2011/2012,Count,Hospital Discharges,660
S08000028,2015/2016,Count,Hospital Discharges,9
S08000020,2013/2014,Count,Hospital Discharges,600
S08000017,2015/2016,Count,Hospital Discharges,186
S08000020,2012/2013,Count,Hospital Discharges,564
S08000020,1997/1998,Count,Hospital Discharges,396
S08000020,1998/1999,Count,Hospital Discharges,414
S08000019,1996/1997,Count,Hospital Discharges,99
S08000020,1996/1997,Count,Hospital Discharges,360
S08000020,2000/2001,Count,Hospital Discharges,498
S08000020,2001/2002,Count,Hospital Discharges,510
S08000020,1999/2000,Count,Hospital Discharges,501
S12000005,1997/1998,Count,Hospital Discharges,24
S08000019,1997/1998,Count,Hospital Discharges,108
S12000005,1998/1999,Count,Hospital Discharges,33
S12000006,2014/2015,Count,Hospital Discharges,171
S12000006,2015/2016,Count,Hospital Discharges,186
S12000006,2013/2014,Count,Hospital Discharges,192
S08000020,2009/2010,Count,Hospital Discharges,819
S08000020,2010/2011,Count,Hospital Discharges,750
S08000020,2008/2009,Count,Hospital Discharges,771
S12000008,1998/1999,Count,Hospital Discharges,129
S12000008,1999/2000,Count,Hospital Discharges,135
S12000008,1997/1998,Count,Hospital Discharges,90
S08000020,2003/2004,Count,Hospital Discharges,519
S08000020,2004/2005,Count,Hospital Discharges,594
S08000020,2002/2003,Count,Hospital Discharges,540
S08000020,2006/2007,Count,Hospital Discharges,633
S08000020,2007/2008,Count,Hospital Discharges,702
S08000020,2005/2006,Count,Hospital Discharges,537
S08000024,2000/2001,Count,Hospital Discharges,570
S08000024,2001/2002,Count,Hospital Discharges,696
S08000024,1999/2000,Count,Hospital Discharges,621
S08000024,2003/2004,Count,Hospital Discharges,747
S08000024,2004/2005,Count,Hospital Discharges,768
S08000024,2002/2003,Count,Hospital Discharges,660
S08000015,1996/1997,Count,Hospital Discharges,207
S08000024,1996/1997,Count,Hospital Discharges,534
S08000015,1997/1998,Count,Hospital Discharges,225
S08000024,1998/1999,Count,Hospital Discharges,573
S08000025,2015/2016,Count,Hospital Discharges,9
S08000024,1997/1998,Count,Hospital Discharges,630
S12000014,1999/2000,Count,Hospital Discharges,84
S12000014,2000/2001,Count,Hospital Discharges,75
S12000014,1998/1999,Count,Hospital Discharges,66
S08000024,2010/2011,Count,Hospital Discharges,1137
S08000024,2011/2012,Count,Hospital Discharges,1254
S12000014,2001/2002,Count,Hospital Discharges,102
S08000024,2006/2007,Count,Hospital Discharges,972
S08000024,2007/2008,Count,Hospital Discharges,1050
S08000024,2005/2006,Count,Hospital Discharges,903
S08000024,2009/2010,Count,Hospital Discharges,945
S12000014,1997/1998,Count,Hospital Discharges,54
S08000024,2008/2009,Count,Hospital Discharges,1101
S12000013,2004/2005,Count,Hospital Discharges,15
S12000013,2005/2006,Count,Hospital Discharges,12
S12000013,2003/2004,Count,Hospital Discharges,12
S12000013,2007/2008,Count,Hospital Discharges,9
S12000013,2008/2009,Count,Hospital Discharges,6
S12000013,2006/2007,Count,Hospital Discharges,12
S08000015,2007/2008,Count,Hospital Discharges,792
S08000015,2006/2007,Count,Hospital Discharges,708
S08000015,2008/2009,Count,Hospital Discharges,780
S08000015,2004/2005,Count,Hospital Discharges,690
S08000015,2003/2004,Count,Hospital Discharges,618
S08000015,2005/2006,Count,Hospital Discharges,630
S08000015,2002/2003,Count,Hospital Discharges,627
S08000015,2001/2002,Count,Hospital Discharges,612
S12000013,2015/2016,Count,Hospital Discharges,9
S08000015,1999/2000,Count,Hospital Discharges,354
S08000015,1998/1999,Count,Hospital Discharges,345
S08000015,2000/2001,Count,Hospital Discharges,447
S12000013,2010/2011,Count,Hospital Discharges,9
S12000013,2011/2012,Count,Hospital Discharges,12
S12000013,2009/2010,Count,Hospital Discharges,6
S12000013,2013/2014,Count,Hospital Discharges,12
S12000013,2014/2015,Count,Hospital Discharges,15
S12000013,2012/2013,Count,Hospital Discharges,9
S92000003,2010/2011,Count,Hospital Discharges,6960
S92000003,2009/2010,Count,Hospital Discharges,6489
S92000003,2011/2012,Count,Hospital Discharges,7074
S92000003,2007/2008,Count,Hospital Discharges,6264
S92000003,2006/2007,Count,Hospital Discharges,5505
S92000003,2008/2009,Count,Hospital Discharges,6639
S12000014,2013/2014,Count,Hospital Discharges,144
S12000014,2014/2015,Count,Hospital Discharges,156
S12000014,2012/2013,Count,Hospital Discharges,87
S92000003,2013/2014,Count,Hospital Discharges,7314
S92000003,2012/2013,Count,Hospital Discharges,6477
S12000014,2015/2016,Count,Hospital Discharges,186
S92000003,1998/1999,Count,Hospital Discharges,4128
S92000003,1997/1998,Count,Hospital Discharges,3378
S92000003,1999/2000,Count,Hospital Discharges,4539
S12000017,1997/1998,Count,Hospital Discharges,42
S12000017,1998/1999,Count,Hospital Discharges,39
S92000003,1996/1997,Count,Hospital Discharges,2958
S92000003,2004/2005,Count,Hospital Discharges,5112
S92000003,2003/2004,Count,Hospital Discharges,5064
S92000003,2005/2006,Count,Hospital Discharges,4974
S92000003,2001/2002,Count,Hospital Discharges,5220
S92000003,2000/2001,Count,Hospital Discharges,4965
S92000003,2002/2003,Count,Hospital Discharges,5469
S08000025,2010/2011,Count,Hospital Discharges,9
S08000025,2003/2004,Count,Hospital Discharges,6
S08000025,2011/2012,Count,Hospital Discharges,6
S08000025,1997/1998,Count,Hospital Discharges,0
S08000024,2015/2016,Count,Hospital Discharges,1395
S08000025,2002/2003,Count,Hospital Discharges,6
S08000024,2013/2014,Count,Hospital Discharges,1308
S08000024,2014/2015,Count,Hospital Discharges,1662
S08000024,2012/2013,Count,Hospital Discharges,1149
S08000025,2013/2014,Count,Hospital Discharges,15
S08000025,2012/2013,Count,Hospital Discharges,9
S08000025,2014/2015,Count,Hospital Discharges,15
S12000014,2007/2008,Count,Hospital Discharges,66
S12000014,2008/2009,Count,Hospital Discharges,99
S12000014,2006/2007,Count,Hospital Discharges,60
S12000014,2010/2011,Count,Hospital Discharges,96
S12000014,2011/2012,Count,Hospital Discharges,87
S12000014,2009/2010,Count,Hospital Discharges,120
S92000003,2014/2015,Count,Hospital Discharges,7881
S12000014,2002/2003,Count,Hospital Discharges,93
S92000003,2015/2016,Count,Hospital Discharges,8460
S12000014,2004/2005,Count,Hospital Discharges,69
S12000014,2005/2006,Count,Hospital Discharges,57
S12000014,2003/2004,Count,Hospital Discharges,63
S08000015,2012/2013,Count,Hospital Discharges,720
S08000022,2013/2014,Count,Hospital Discharges,213
S08000026,2013/2014,Count,Hospital Discharges,27
S12000013,1999/2000,Count,Hospital Discharges,9
S12000013,1997/1998,Count,Hospital Discharges,0
S08000026,2010/2011,Count,Hospital Discharges,36
S08000026,2009/2010,Count,Hospital Discharges,33
S08000026,2012/2013,Count,Hospital Discharges,18
S08000026,2011/2012,Count,Hospital Discharges,21
S12000011,2012/2013,Count,Hospital Discharges,45
S12000011,2013/2014,Count,Hospital Discharges,48
S08000022,2009/2010,Count,Hospital Discharges,213
S08000022,2010/2011,Count,Hospital Discharges,210
S08000022,2011/2012,Count,Hospital Discharges,273
S08000022,2012/2013,Count,Hospital Discharges,228
S12000011,2014/2015,Count,Hospital Discharges,54
S12000011,2015/2016,Count,Hospital Discharges,57
S08000026,2002/2003,Count,Hospital Discharges,9
S08000022,2014/2015,Count,Hospital Discharges,204
S08000026,1996/1997,Count,Hospital Discharges,12
S08000022,2015/2016,Count,Hospital Discharges,267
S08000026,2003/2004,Count,Hospital Discharges,6
S08000026,1999/2000,Count,Hospital Discharges,9
S08000026,1998/1999,Count,Hospital Discharges,9
S08000026,1997/1998,Count,Hospital Discharges,12
S08000026,2001/2002,Count,Hospital Discharges,9
S08000015,2013/2014,Count,Hospital Discharges,774
S08000026,2006/2007,Count,Hospital Discharges,18
S08000026,2008/2009,Count,Hospital Discharges,45
S08000026,2007/2008,Count,Hospital Discharges,30
S08000026,2005/2006,Count,Hospital Discharges,27
S08000026,2004/2005,Count,Hospital Discharges,12
S08000015,2014/2015,Count,Hospital Discharges,849
S08000015,2015/2016,Count,Hospital Discharges,882
S08000015,2011/2012,Count,Hospital Discharges,897
S08000022,2008/2009,Count,Hospital Discharges,237
S08000015,2010/2011,Count,Hospital Discharges,864
S12000013,2001/2002,Count,Hospital Discharges,6
S12000013,2000/2001,Count,Hospital Discharges,6
S12000013,2002/2003,Count,Hospital Discharges,9
S08000015,2009/2010,Count,Hospital Discharges,756
S08000029,1997/1998,Ratio,"EASR per 100,000",32.11
S12000042,2016/2017,Ratio,"EASR per 100,000",275.33
S08000029,1996/1997,Ratio,"EASR per 100,000",33.01
S12000041,2016/2017,Ratio,"EASR per 100,000",63.5
S08000029,1998/1999,Ratio,"EASR per 100,000",44.11
S08000019,2012/2013,Ratio,"EASR per 100,000",72.53
S08000019,2013/2014,Ratio,"EASR per 100,000",92.43
S08000019,2000/2001,Ratio,"EASR per 100,000",50.57
S12000048,2011/2012,Ratio,"EASR per 100,000",102.44
S08000019,2002/2003,Ratio,"EASR per 100,000",71.89
S08000019,2001/2002,Ratio,"EASR per 100,000",63.04
S12000048,2013/2014,Ratio,"EASR per 100,000",108.36
S08000019,1999/2000,Ratio,"EASR per 100,000",59.33
S12000048,2012/2013,Ratio,"EASR per 100,000",105.37
S12000040,2016/2017,Ratio,"EASR per 100,000",180.64
S08000024,2016/2017,Ratio,"EASR per 100,000",142.91
S08000019,2015/2016,Ratio,"EASR per 100,000",132.31
S08000024,1997/1998,Ratio,"EASR per 100,000",69.42
S08000019,2014/2015,Ratio,"EASR per 100,000",101.09
S12000034,2016/2017,Ratio,"EASR per 100,000",59.38
S12000048,2016/2017,Ratio,"EASR per 100,000",107.77
S08000024,1996/1997,Ratio,"EASR per 100,000",59.29
S12000033,2016/2017,Ratio,"EASR per 100,000",168.97
S12000048,2015/2016,Ratio,"EASR per 100,000",111.45
S08000029,1999/2000,Ratio,"EASR per 100,000",67.26
S12000045,2016/2017,Ratio,"EASR per 100,000",89.95
S12000048,2014/2015,Ratio,"EASR per 100,000",89.89
S08000029,2001/2002,Ratio,"EASR per 100,000",65.4
S12000045,2010/2011,Ratio,"EASR per 100,000",56.76
S08000029,2000/2001,Ratio,"EASR per 100,000",84.37
S12000028,2016/2017,Ratio,"EASR per 100,000",262.59
S08000019,2011/2012,Ratio,"EASR per 100,000",67.71
S08000024,2002/2003,Ratio,"EASR per 100,000",73.61
S12000039,2016/2017,Ratio,"EASR per 100,000",267.06
S08000019,2010/2011,Ratio,"EASR per 100,000",85.18
S12000045,2013/2014,Ratio,"EASR per 100,000",43.18
S08000024,2001/2002,Ratio,"EASR per 100,000",76.85
S08000016,2016/2017,Ratio,"EASR per 100,000",93.17
S12000036,2016/2017,Ratio,"EASR per 100,000",144.71
S08000024,2004/2005,Ratio,"EASR per 100,000",87.15
S12000045,2014/2015,Ratio,"EASR per 100,000",61.85
S92000003,2016/2017,Ratio,"EASR per 100,000",180.56
S12000045,2015/2016,Ratio,"EASR per 100,000",70.36
S12000038,2016/2017,Ratio,"EASR per 100,000",208.99
S08000024,2003/2004,Ratio,"EASR per 100,000",85.28
S08000015,2016/2017,Ratio,"EASR per 100,000",356.08
S12000029,2016/2017,Ratio,"EASR per 100,000",149.48
S12000030,2016/2017,Ratio,"EASR per 100,000",161.2
S08000019,2006/2007,Ratio,"EASR per 100,000",44.72
S08000019,2007/2008,Ratio,"EASR per 100,000",61.19
S08000024,1998/1999,Ratio,"EASR per 100,000",62.85
S08000019,2009/2010,Ratio,"EASR per 100,000",85.72
S08000019,2008/2009,Ratio,"EASR per 100,000",77.48
S08000019,2004/2005,Ratio,"EASR per 100,000",54.11
S08000019,2003/2004,Ratio,"EASR per 100,000",54.06
S08000022,2016/2017,Ratio,"EASR per 100,000",105.62
S08000019,2005/2006,Ratio,"EASR per 100,000",42.93
S08000019,2016/2017,Ratio,"EASR per 100,000",138.52
S08000024,2000/2001,Ratio,"EASR per 100,000",62.36
S12000035,2016/2017,Ratio,"EASR per 100,000",114.32
S08000017,2016/2017,Ratio,"EASR per 100,000",191.65
S12000045,2012/2013,Ratio,"EASR per 100,000",49.64
S08000020,2016/2017,Ratio,"EASR per 100,000",105.62
S12000045,2011/2012,Ratio,"EASR per 100,000",52.57
S12000027,2016/2017,Ratio,"EASR per 100,000",116.72
S08000024,1999/2000,Ratio,"EASR per 100,000",68.68
